,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
3265,LassoLars alpha 0.1,Exponential,None,505 nm LED,-0.0007817527979352423,0.048011217931481685,-0.19974336414130622,0.048963861807982706
3266,LassoLars alpha 0.1,Exponential,Exponential,505 nm LED,-0.0007817527979352423,0.048011217931481685,-0.19974336414130622,0.048963861807982706
3267,LassoLars alpha 0.1,Exponential,Logarithm,505 nm LED,-0.0007817527979352423,0.048011217931481685,-0.19974336414130622,0.048963861807982706
3268,LassoLars alpha 0.1,Logarithm,None,505 nm LED,-0.06214313313530084,0.0478726561945403,-0.2569136543470832,0.04925054294400629
3269,LassoLars alpha 0.1,Logarithm,Exponential,505 nm LED,-0.06214313313530084,0.0478726561945403,-0.2569136543470832,0.04925054294400629
3270,LassoLars alpha 0.1,Logarithm,Logarithm,505 nm LED,-0.06214313313530084,0.0478726561945403,-0.2569136543470832,0.04925054294400629
3271,LassoLars alpha 0.1,Reciprocol,None,505 nm LED,0.5523024407132384,0.025672356700756953,0.22281561128260727,0.028875643863398436
3272,LassoLars alpha 0.1,Reciprocol,Exponential,505 nm LED,-0.259910598526526,0.05047653486984032,-1.5547200555641216,0.05834346275759002
3273,LassoLars alpha 0.1,Reciprocol,Logarithm,505 nm LED,0.44042692467267885,0.027657546018289337,-0.21236612157588325,0.03139704081939294
3274,LassoLars alpha 0.01,None,None,505 nm LED,0.0,0.04790743224222222,-0.1964776149303126,0.04888002784236111
3275,LassoLars alpha 0.01,None,Exponential,505 nm LED,0.0,0.04790743224222222,-0.1964776149303126,0.04888002784236111
3276,LassoLars alpha 0.01,None,Logarithm,505 nm LED,0.0,0.04790743224222222,-0.1964776149303126,0.04888002784236111
3277,LassoLars alpha 0.01,Exponential,None,505 nm LED,-0.0007817527979352423,0.048011217931481685,-0.19974336414130622,0.048963861807982706
3278,LassoLars alpha 0.01,Exponential,Exponential,505 nm LED,-0.0007817527979352423,0.048011217931481685,-0.19974336414130622,0.048963861807982706
3279,LassoLars alpha 0.01,Exponential,Logarithm,505 nm LED,-0.0007817527979352423,0.048011217931481685,-0.19974336414130622,0.048963861807982706
3280,LassoLars alpha 0.01,Logarithm,None,505 nm LED,0.6344363742081988,0.025400309971348126,0.5454243063290422,0.025837970306436243
3281,LassoLars alpha 0.01,Logarithm,Exponential,505 nm LED,-0.06214313313530084,0.0478726561945403,-1.6584245696950348,0.05681690557107303
3282,LassoLars alpha 0.01,Logarithm,Logarithm,505 nm LED,0.6183459495412114,0.026150898834199344,0.5214323022034744,0.026917365458601183
3283,LassoLars alpha 0.01,Reciprocol,None,505 nm LED,-5.705168436640391,0.041576343759159716,-1.206515288063493,0.038412982261187424
3284,LassoLars alpha 0.01,Reciprocol,Exponential,505 nm LED,-0.21667264970837774,0.04901145084109811,-0.9751884042653511,0.058211790297989244
3285,LassoLars alpha 0.01,Reciprocol,Logarithm,505 nm LED,-3.8390314230267455,0.037325988395659725,-0.8758586233115722,0.03652569355326009
3286,LassoLars alpha 0.001,None,None,505 nm LED,0.6334329683529949,0.026750241685220413,0.5213810300789214,0.028275425654485146
3287,LassoLars alpha 0.001,None,Exponential,505 nm LED,0.006530244156025322,0.047738485569034636,-1.0273359308382317,0.054358958078211526
3288,LassoLars alpha 0.001,None,Logarithm,505 nm LED,0.6143524492953909,0.02767897576215329,0.49107089561750084,0.029738482377287396
3289,LassoLars alpha 0.001,Exponential,None,505 nm LED,0.6426567271498018,0.026294217178723895,0.5239822163418035,0.028138587091049577
3290,LassoLars alpha 0.001,Exponential,Exponential,505 nm LED,0.01037379495757118,0.04770436046917988,-5.400763052627482,0.06319326743027202
