,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
2218,PLS 2-component,None,Exponential,465 nm LED,0.036878598859895306,0.16418601103596375,-12011511002.780056,3061.124631497717
2219,PLS 2-component,None,Logarithm,465 nm LED,0.5919751632768505,0.10186599245674507,0.5139133729023564,0.10448436781448778
2220,PLS 2-component,Exponential,None,465 nm LED,0.554279977550967,0.1067926813089099,0.4543246838283917,0.11235780672923408
2221,PLS 2-component,Exponential,Logarithm,465 nm LED,0.5578740583337376,0.10892019598042399,0.46788105056674756,0.11405533642844094
2222,PLS 2-component,Logarithm,None,465 nm LED,0.5462885049366761,0.10498096704336743,0.45773772545643965,0.10592687113650054
2223,PLS 2-component,Logarithm,Logarithm,465 nm LED,0.573025939240388,0.10076678763171627,0.4987329262815976,0.10055057200590498
2224,PLS 2-component,Reciprocol,None,465 nm LED,0.07142718490388555,0.13607736391390188,-0.10259838824472448,0.13945587326972958
2225,PLS 2-component,Reciprocol,Exponential,465 nm LED,-0.12195998997544466,0.1777828498249713,-1.3709787063096666,0.22059244662742472
2226,PLS 2-component,Reciprocol,Logarithm,465 nm LED,-0.6851262703848029,0.14332244337750977,-3.0709129856412956,0.16737143413455352
2227,PLS 3-component,None,None,465 nm LED,0.662679482180655,0.09441554894370603,0.5817440823704466,0.0990488164780457
2228,PLS 3-component,None,Exponential,465 nm LED,0.03912175550589525,0.16439744554155186,-1036987112955.4021,28272.63948905626
2229,PLS 3-component,None,Logarithm,465 nm LED,0.640462800259421,0.09706159548748208,0.5256771494675841,0.10617667953897587
2230,PLS 3-component,Exponential,None,465 nm LED,0.6162006858953464,0.10307861436712325,0.48096701655417784,0.11323007666057731
2231,PLS 3-component,Exponential,Logarithm,465 nm LED,0.5928864167510335,0.10578046499701839,0.36148037617582507,0.12254227168649112
2232,PLS 3-component,Logarithm,None,465 nm LED,0.6452174037648796,0.09196931264685995,0.5659954465158845,0.09366599904856435
2233,PLS 3-component,Logarithm,Exponential,465 nm LED,0.002253338849714681,0.16883998584840912,-0.7654766153174386,0.20959572399464882
2234,PLS 3-component,Logarithm,Logarithm,465 nm LED,0.6053047556434734,0.0929049875815682,0.5010708601398373,0.09955612055052747
2235,PLS 3-component,Reciprocol,None,465 nm LED,-5.542685074788022,0.16776764059168864,-4405.621963924207,1.9966507298810405
2236,PLS 3-component,Reciprocol,Exponential,465 nm LED,-0.1198933666791675,0.1778899344645083,-536.7561312598513,0.8439384719306403
2237,PLS 3-component,Reciprocol,Logarithm,465 nm LED,-1038.7880594446654,0.9283441588462062,-4.651918924902414,0.1620470777106573
2238,PLS 4-component,None,None,465 nm LED,0.6954066336570857,0.08706688242980558,0.5328162181793197,0.10147584864049541
2239,PLS 4-component,None,Exponential,465 nm LED,0.06673324516917001,0.16124409964935496,-6027874905586.781,68118.77578483635
2240,PLS 4-component,None,Logarithm,465 nm LED,0.6793231639939945,0.09039648333555286,0.5017762398561023,0.10655348406186302
2241,PLS 4-component,Exponential,None,465 nm LED,0.6541753315799963,0.09532599775781084,0.36940682798784985,0.1178346995821821
2242,PLS 4-component,Exponential,Logarithm,465 nm LED,0.6162238194688077,0.10108915061592402,0.21849945800595566,0.12765439851162108
2243,PLS 4-component,Logarithm,None,465 nm LED,0.6771338155404778,0.08557424448241893,0.5524370134166057,0.09448133982790627
2244,PLS 4-component,Logarithm,Exponential,465 nm LED,0.032151345992361136,0.16636728238741777,-1874784730.0837407,1035.4321440952226
2245,PLS 4-component,Logarithm,Logarithm,465 nm LED,0.668361227623627,0.08654282342946293,0.5408114435414599,0.09659499533242466
2246,PLS 4-component,Reciprocol,None,465 nm LED,-2.8713550453439627,0.1483767159483986,-502.06023417772474,0.7474152443589175
2247,PLS 4-component,Reciprocol,Exponential,465 nm LED,-0.08623389493708622,0.17565492916866593,-1.1027474712344758,0.22962342544007183
2248,PLS 4-component,Reciprocol,Logarithm,465 nm LED,-16.48630710304306,0.20234485979039085,-10.184881985379013,0.19396011373466093
2249,Lasso alpha 5,None,None,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2250,Lasso alpha 5,None,Exponential,465 nm LED,0.03893169858038159,0.16410960356010343,-23879685522985.95,135562.69935318496
2251,Lasso alpha 5,None,Logarithm,465 nm LED,0.0,0.17121315383888894,-0.12582875668930518,0.17366436711875
2252,Lasso alpha 5,Exponential,None,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2253,Lasso alpha 5,Exponential,Logarithm,465 nm LED,-0.00993902558326143,0.1711274675519617,-0.13631315012038664,0.17370383575406412
2254,Lasso alpha 5,Logarithm,None,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2255,Lasso alpha 5,Logarithm,Logarithm,465 nm LED,-0.0380146190881292,0.17494415985558373,-0.17874905695298343,0.1769158258260652
2256,Lasso alpha 5,Reciprocol,None,465 nm LED,-0.16293683183508723,0.1841378461092762,-0.33563311010682734,0.18633994922137936
2257,Lasso alpha 5,Reciprocol,Exponential,465 nm LED,-0.120751930549992,0.17796682479129694,-1.154656707012339,0.22889548206193083
