,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
1270,LinearRegression,Logarithm,None,400 nm LED,0.5940306885034659,0.0704554847361366,0.5111760540117434,0.07567453673955787
1271,LinearRegression,Logarithm,Exponential,400 nm LED,-0.03381786536052478,0.12839328442507758,-0.18874385873431027,0.13373700804107524
1272,LinearRegression,Logarithm,Logarithm,400 nm LED,0.5719663056046079,0.07294862771356027,0.42747997921474523,0.08461286386873923
1273,LinearRegression,Reciprocol,None,400 nm LED,0.34923901115589007,0.08841449863882446,0.24735027263167136,0.09563566897156561
1274,LinearRegression,Reciprocol,Exponential,400 nm LED,-0.1452828661240091,0.13549785932667488,-0.4248596765146644,0.14400862277818965
1275,LinearRegression,Reciprocol,Logarithm,400 nm LED,0.3714619077244774,0.08364853857283179,0.09111908041308733,0.09624003066934449
1276,Kernel Ridge,None,None,400 nm LED,0.29595036583661294,0.09453705033183875,0.2163115692105783,0.10024763227808715
1277,Kernel Ridge,None,Logarithm,400 nm LED,0.4670502183452575,0.08744319080779951,0.3889425083536458,0.09182467531812895
1278,Kernel Ridge,Exponential,None,400 nm LED,-0.4717106047140913,0.14654724599231114,-0.6480070541785793,0.15914804252681333
1279,Kernel Ridge,Exponential,Logarithm,400 nm LED,0.3854029339976235,0.095497136954243,0.3089849933538679,0.09934636968950707
1280,Kernel Ridge,Logarithm,None,400 nm LED,0.6003754390005358,0.07037291977587959,0.5051504998854591,0.0755314422476008
1281,Kernel Ridge,Logarithm,Logarithm,400 nm LED,0.4744282885676203,0.08450705505846955,0.353390789920187,0.09186107014786064
1282,Kernel Ridge,Reciprocol,None,400 nm LED,0.3460898039278292,0.08920079770320853,0.2333906728731471,0.09458388343797781
1283,Kernel Ridge,Reciprocol,Logarithm,400 nm LED,0.38394813975208675,0.08885327297860118,0.25407814022010056,0.0960726339218634
1284,PLS 1-component,None,None,405 nm LED,0.32184638201882965,0.09994883109393998,0.26677721423292944,0.10173982793742446
1285,PLS 1-component,None,Exponential,405 nm LED,0.021664619478726332,0.12158666046199995,-1.0644045186509522e+31,66700556713334.11
1286,PLS 1-component,None,Logarithm,405 nm LED,0.398236482810829,0.09303287392680606,0.3549469838604934,0.09470562936460858
