Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,100,  3156.075,   439.925,    48.000,    46.950,    45.400,    29.075,    34.925,    44.400,    22.900,    48.500,    67.850,    46.100,    79.150,    74.850,   510.350,  1172.675,   644.425,   258.225,b'UV IR',12.5 mA,b'OK Read',10:28:16
1,1,64,100,  3151.350,   822.550,  1270.900,   442.625,  1042.575,  2214.750,   718.775,   581.225,  1950.225,   203.050,   454.050,   203.275,   800.650,   446.925,   633.025,  1218.325,   670.450,   287.450,b'White UV IR',12.5 mA,b'OK Read',10:28:17
1,1,64,100,    92.475,   838.600,  2241.275,   731.000,  1939.450,  4242.100,  1330.075,  1042.275,  3705.700,   302.325,   782.825,   307.025,  1452.000,   763.400,   251.900,    99.875,    55.325,    56.025,b'White',25 mA,b'OK Read',10:28:18
1,1,64,100,    42.675,    36.650,    35.475,    42.475,    62.450,    33.925,    40.300,    66.600,    40.100,    60.925,    99.150,    34.575,    65.600,    98.375,  1020.725,  2393.875,  1362.075,   548.125,b'IR',25 mA,b'OK Read',10:28:19
1,1,64,100,  4526.650,   591.150,    43.825,    40.250,    22.700,    17.775,    22.850,    19.600,     8.600,    30.450,    26.100,    44.000,    70.125,    40.625,    15.325,     8.550,     9.775,    12.175,b'UV',25 mA,b'OK Read',10:28:20
1,1,64,100,   135.150,   872.975,  2272.575,   771.250,  2003.775,  4280.875,  1367.675,  1107.575,  3748.675,   358.750,   853.275,   339.500,  1510.825,   853.200,  1263.850,  2485.175,  1414.150,   601.700,b'White IR',25 mA,b'OK Read',10:28:21
1,1,64,100,  4332.200,  1393.075,  2280.925,   766.775,  1954.600,  4246.950,  1347.525,  1057.950,  3714.300,   327.150,   788.050,   358.375,  1551.525,   812.575,   265.025,   105.575,    61.850,    68.200,b'White UV',25 mA,b'OK Read',10:28:22
1,1,64,100,  4284.775,   593.425,    75.125,    78.250,    83.250,    50.075,    60.450,    82.275,    45.825,    85.725,   114.825,    73.350,   126.650,   130.450,  1029.475,  2393.875,  1368.575,   555.425,b'UV IR',25 mA,b'OK Read',10:28:23
1,1,64,100,  4097.450,  1395.375,  2310.150,   807.000,  2017.025,  4282.475,  1385.150,  1120.650,  3754.400,   381.300,   887.200,   384.550,  1592.225,   891.700,  1261.650,  2476.600,  1419.025,   613.900,b'White UV IR',25 mA,b'OK Read',10:28:24
1,1,64,100,   189.700,  1787.175,  3919.125,  1310.000,  3653.725,  7973.725,  2497.575,  1953.950,  6913.125,   561.800,  1531.725,   599.375,  2924.375,  1541.775,   484.075,   188.325,   100.900,   107.175,b'White',50 mA,b'OK Read',10:28:26
