,Model,y transform,x transform,r2 train,mae train,r2 test,mae test
442,Ridge alpha 0.001,Power Transform,Quantile Transform,0.4874834600377067,0.1073437262856313,0.0863262752837618,0.14028429730672196
443,Ridge alpha 0.0001,None,None,0.6798092342514777,0.08941481142693909,0.6778273943130311,0.11058117147708744
444,Ridge alpha 0.0001,None,Exponential,0.48607351162865486,0.10737334745322034,0.13760843597249617,0.1423210452677563
445,Ridge alpha 0.0001,None,Logarithm plus 1,0.1039731524841726,0.1542414258728831,-0.08961912395301064,0.17448452828810215
446,Ridge alpha 0.0001,None,Quantile Transform,0.48607351162865475,0.1073733474532203,0.32283977400793773,0.12302916923323019
447,Ridge alpha 0.0001,Exponential,None,0.6951025758460707,0.08801441437807128,0.4409903829044328,0.10573603043975366
448,Ridge alpha 0.0001,Exponential,Exponential,0.4993004387706299,0.108014365562044,0.004106969912571423,0.13279495977748612
449,Ridge alpha 0.0001,Exponential,Quantile Transform,0.49930043877063,0.10801436556204394,-0.3830465112858943,0.14801633898964908
450,Ridge alpha 0.0001,LogarithmReciprocol,None,0.6088442742275224,0.09645491597617326,0.5310181400773215,0.09308604861842863
451,Ridge alpha 0.0001,LogarithmReciprocol,Exponential,0.40793668384536674,0.11079845617466691,-3.0664478045548567,0.20611383898639388
452,Ridge alpha 0.0001,LogarithmReciprocol,Logarithm plus 1,0.0713958917102363,0.15661373946368998,0.004481379999283108,0.14684883262811332
453,Ridge alpha 0.0001,LogarithmReciprocol,Quantile Transform,0.40793668384536674,0.11079845617466691,-0.9483429999422046,0.15061472291035163
454,Ridge alpha 0.0001,Logarithm plus 1,None,0.6632684550690346,0.09070419333811022,0.784087068960726,0.06410272901712977
455,Ridge alpha 0.0001,Logarithm plus 1,Exponential,0.46813093481214674,0.10810882722202154,0.31248224269867986,0.14499122150677807
456,Ridge alpha 0.0001,Logarithm plus 1,Logarithm plus 1,0.10121412906313088,0.15458620389085995,-1.3768784703690824,0.22689642022278192
457,Ridge alpha 0.0001,Logarithm plus 1,Quantile Transform,0.4681309348121466,0.10810882722202156,-0.47766760676809294,0.1903341865101562
458,Ridge alpha 0.0001,Exponential minus one,None,0.26073002839787474,0.12064861908602881,-1.3948533690425626,0.13791534135947064
459,Ridge alpha 0.0001,Exponential minus one,Exponential,0.11454419486163225,0.12803975873808246,0.3610995888572417,0.1358124168361143
460,Ridge alpha 0.0001,Exponential minus one,Logarithm plus 1,-0.05097231785127754,0.1685091097739947,-8.428026052579348,0.33927728743766217
