Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time
1B,2,64,250,6921.394,5326.287,13468.142,12664.087,11513.541,3279.144,White LED,12.5 mA,b'OK Read',10:39:29
1B,2,64,250,13475.166,10450.388,26275.008,24783.143,22390.85,6384.978,White LED,25 mA,b'OK Read',10:39:31
1B,2,64,250,25306.016,19627.971,49213.574,46443.543,41767.621,11929.996,White LED,50 mA,b'OK Read',10:39:33
1B,2,64,250,33672.059,26006.606,65549.039,61876.531,55526.855,15882.209,White LED,100 mA,b'Saturated Read',10:39:35
1B,3,64,50,7000.086,5499.243,13574.419,12821.983,11577.73,3324.076,White LED,12.5 mA,b'OK Read',10:39:38
1B,3,64,50,13530.368,10602.637,26445.694,24992.405,22504.126,6446.416,White LED,25 mA,b'OK Read',10:39:39
1B,3,64,50,25369.439,19920.289,49896.318,47155.03,42251.875,12122.564,White LED,50 mA,b'OK Read',10:39:41
1B,3,64,50,33350.242,26156.418,65891.484,62240.835,55689.214,15955.567,White LED,100 mA,b'OK Read',10:39:42
1B,3,64,100,6973.66,5417.028,13510.008,12767.29,11539.972,3314.907,White LED,12.5 mA,b'OK Read',10:39:43
1B,3,64,100,13571.476,10623.952,26327.61,24951.98,22428.609,6460.171,White LED,25 mA,b'OK Read',10:39:44
1B,3,64,100,25425.23,19911.155,49493.76,46938.638,41999.365,12108.809,White LED,50 mA,b'OK Read',10:39:45
1B,3,64,100,33643.87,26360.432,65556.016,62290.772,55561.782,16081.653,White LED,100 mA,b'OK Read',10:39:46
1B,3,64,150,6996.171,5444.432,13463.49,12750.645,11508.507,3322.548,White LED,12.5 mA,b'OK Read',10:39:47
1B,3,64,150,13559.731,10598.577,26268.566,24886.188,22382.983,6435.718,White LED,25 mA,b'OK Read',10:39:48
1B,3,64,150,25459.486,19950.739,49254.01,46852.236,41822.37,12142.432,White LED,50 mA,b'OK Read',10:39:49
1B,3,64,150,33790.684,26426.406,65419.141,62242.422,55468.958,16131.323,White LED,100 mA,b'OK Read',10:39:51
1B,3,64,200,7007.427,5459.658,13437.548,12758.967,11491.594,3338.978,White LED,12.5 mA,b'OK Read',10:39:52
1B,3,64,200,13589.093,10630.041,26213.55,24935.332,22355.452,6492.266,White LED,25 mA,b'OK Read',10:39:53
1B,3,64,200,25517.722,19987.279,49096.562,46788.823,41726.792,12168.413,White LED,50 mA,b'OK Read',10:39:54
1B,3,64,200,33902.263,26457.871,65424.512,62209.922,55470.923,16106.87,White LED,100 mA,b'OK Read',10:39:55
1B,3,64,250,7008.308,5451.741,13439.157,12748.742,11493.718,3332.329,White LED,12.5 mA,b'OK Read',10:39:56
1B,3,64,250,13580.871,10605.072,26220.26,24889.676,22356.867,6459.254,White LED,25 mA,b'OK Read',10:39:58
1B,3,64,250,25443.434,19839.902,49100.855,46629.027,41690.215,12058.374,White LED,50 mA,b'OK Read',10:40:00
1B,3,64,250,33854.105,26263.602,65380.496,62122.891,55440.953,16066.523,White LED,100 mA,b'Saturated Read',10:40:02
1B,4,64,50,7094.046,6315.298,12753.191,13364.159,11020.791,3745.89,White LED,12.5 mA,b'OK Read',10:40:11
1B,4,64,50,13730.034,12167.759,24711.99,26019.685,21357.209,7294.629,White LED,25 mA,b'OK Read',10:40:12
1B,4,64,50,25845.117,22959.185,46353.77,49005.088,40028.836,13782.309,White LED,50 mA,b'OK Read',10:40:13
1B,4,64,50,34172.4,30120.989,60969.482,64533.193,52701.567,18206.77,White LED,100 mA,b'OK Read',10:40:14
1B,4,64,100,7155.708,6217.859,12678.046,13273.797,11013.712,3759.646,White LED,12.5 mA,b'OK Read',10:40:15
1B,4,64,100,13882.721,12039.869,24907.903,25945.969,21520.042,7235.024,White LED,25 mA,b'OK Read',10:40:16
1B,4,64,100,26024.229,22420.222,47234.038,48845.762,40519.697,13438.439,White LED,50 mA,b'OK Read',10:40:17
1B,4,64,100,34410.239,29466.316,62810.537,64773.369,53744.649,17748.276,White LED,100 mA,b'OK Read',10:40:18
1B,4,64,150,7164.517,6071.699,12975.047,13272.211,11182.838,3664.89,White LED,12.5 mA,b'OK Read',10:40:20
1B,4,64,150,13884.678,11782.06,25323.885,25878.592,21761.54,7082.193,White LED,25 mA,b'OK Read',10:40:21
1B,4,64,150,25944.949,21948.249,47588.294,48539.007,40713.21,13184.739,White LED,50 mA,b'OK Read',10:40:22
1B,4,64,150,34385.768,28955.775,63350.866,64385.762,54087.624,17405.934,White LED,100 mA,b'OK Read',10:40:23
1B,4,64,200,7089.642,5914.883,13047.062,13179.867,11223.744,3592.295,White LED,12.5 mA,b'OK Read',10:40:24
1B,4,64,200,13756.461,11526.789,25425.869,25689.148,21823.291,6951.905,White LED,25 mA,b'OK Read',10:40:25
1B,4,64,200,25890.627,21745.757,47633.916,48295.264,40737.991,13049.866,White LED,50 mA,b'OK Read',10:40:26
1B,4,64,200,34223.784,28520.85,63460.005,64189.58,54150.552,17273.735,White LED,100 mA,b'OK Read',10:40:27
1B,4,64,250,7062.335,5852.46,13062.358,13160.605,11234.128,3579.916,White LED,12.5 mA,b'OK Read',10:40:29
1B,4,64,250,13754.699,11508.824,25433.383,25649.674,21823.527,6927.834,White LED,25 mA,b'OK Read',10:40:31
1B,4,64,250,25701.826,21461.051,47580.777,47971.148,40670.734,12883.662,White LED,50 mA,b'OK Read',10:40:33
1B,4,64,250,34159.48,28325.666,63400.961,62335.953,54120.348,17241.184,White LED,100 mA,b'Saturated Read',10:40:34
1C,1,64,50,8274.43,7021.734,13671.034,13977.674,12559.454,4355.686,White LED,12.5 mA,b'OK Read',10:40:57
1C,1,64,50,15826.537,13580.631,26392.019,26994.651,24174.944,8376.673,White LED,25 mA,b'OK Read',10:40:58
1C,1,64,50,29122.002,25425.623,50175.429,50888.438,45069.609,15387.036,White LED,50 mA,b'OK Read',10:40:59
1C,1,64,50,37519.756,33293.863,66095.449,66844.575,58818.462,19949.044,White LED,100 mA,b'OK Read',10:41:00
1C,1,64,100,7778.199,6963.88,13606.624,13766.035,12158.269,4114.977,White LED,12.5 mA,b'OK Read',10:41:01
1C,1,64,100,15042.55,13513.641,26708.701,26930.444,23599.126,7892.963,White LED,25 mA,b'OK Read',10:41:03
1C,1,64,100,27906.384,25343.408,50368.662,50614.971,44057.207,14625.938,White LED,50 mA,b'OK Read',10:41:04
