,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time,Total Chlorophyll (µg/mg),Total Chlorophyll (µg/mg) std,Chlorophyll a (µg/mg),Chlorophyll a (µg/mg) std,Chlorophyll b (µg/mg),Chlorophyll b (µg/mg) std,Total Chlorophyll (µg/cm2),Total Chlorophyll (µg/cm2) std,Chlorophyll a (µg/cm2),Chlorophyll a (µg/cm2) std,Chlorophyll b (µg/cm2),Chlorophyll b (µg/cm2) std
5660,95,2,64,50,4269.348,2752.6659999999997,5818.374,5654.799,4578.231,1522.1979999999999,White LED,12.5 mA,b'OK Read',09:39:20,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5661,95,2,64,50,8591.548,5785.471,11341.537,11119.361,8906.31,3048.98,White LED,25 mA,b'OK Read',09:39:21,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5662,95,2,64,50,13277.848,8623.396999999999,17481.961,17126.099,13678.053,4681.215999999999,White LED,50 mA,b'OK Read',09:39:22,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5663,95,2,64,50,14787.094,9591.702,19430.366,19037.982,15197.837,5199.315,White LED,100 mA,b'OK Read',09:39:23,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5664,95,2,64,100,4436.715999999999,2898.825,5767.383000000001,5671.445,4554.630999999999,1565.755,White LED,12.5 mA,b'OK Read',09:39:24,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5665,95,2,64,100,8659.083,5639.311,11306.648000000001,11093.203000000001,8882.71,3048.9809999999998,White LED,25 mA,b'OK Read',09:39:25,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5666,95,2,64,100,13318.955,8626.442,17433.654,17097.564,13656.813999999998,4690.387,White LED,50 mA,b'OK Read',09:39:26,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5667,95,2,64,100,14769.476,9539.937,19258.606,18890.548,15084.56,5183.267,White LED,100 mA,b'OK Read',09:39:27,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5668,95,2,64,150,4435.737,2898.825,5757.543000000001,5662.725,4546.765,1564.99,White LED,12.5 mA,b'OK Read',09:39:28,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5669,95,2,64,150,8662.019,5635.251,11280.705,11074.972,8865.405,3047.452,White LED,25 mA,b'OK Read',09:39:29,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5670,95,2,64,150,13344.403,8633.546999999999,17430.076,17102.319,13656.027,4701.085,White LED,50 mA,b'OK Read',09:39:30,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5671,95,2,64,150,14798.84,9547.042,19226.401,18863.596999999998,15059.388,5193.201,White LED,100 mA,b'OK Read',09:39:32,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
