Leaf number,940 nm,led,led current,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,24.367,b'White',12.5 mA,2,64,150,34.783,274.95,976.65,286.133,596.65,1213.717,408.417,334.367,985.133,127.1,384.45,130.633,729.767,329.317,90.533,45.65,23.867,24.367,b'White',12.5 mA,b'OK Read',09:44:02
1,224.117,b'IR',12.5 mA,2,64,150,17.383,15.283,15.3,17.883,25.233,14,18.817,29.6,17.183,28.583,34.8,16.067,27.133,37.067,318.333,1019.55,593.433,224.117,b'IR',12.5 mA,b'OK Read',09:44:03
1,45.467,b'White',25 mA,2,64,150,69.55,594.2,1786.35,526.083,1161.783,2357.433,793.567,646.967,1899.633,243.667,746.3,264.067,1494.233,675.733,175.233,89.4,44.483,45.467,b'White',25 mA,b'OK Read',09:44:06
1,488.833,b'IR',25 mA,2,64,150,36.367,30.55,30.6,35.767,54.233,28,38.517,61.817,34.367,57.15,85.233,33.533,55.783,75.55,652.733,2094.283,1268.233,488.833,b'IR',25 mA,b'OK Read',09:44:07
1,89.317,b'White',50 mA,2,64,150,143.85,1275.467,3119.15,943.367,2183.533,4428.4,1491.283,1212.083,3533.883,452.75,1490.85,546.283,3137.733,1428.433,349,176.9,82.45,89.317,b'White',50 mA,b'OK Read',09:44:09
1,1071.867,b'IR',50 mA,2,64,150,71.133,62.633,61.217,71.533,107.217,53.85,75.233,123.65,66.817,112.067,161.783,65.667,110.067,145.417,1232.45,3975.517,2631.917,1071.867,b'IR',50 mA,b'OK Read',09:44:10
1,103.933,b'White',100 mA,2,64,150,173.883,1536.667,3543.483,1089.417,2524.117,5147.817,1733.117,1408,4104.733,521.95,1774.417,656.65,3749.9,1713.55,416.167,211.133,95.467,103.933,b'White',100 mA,b'OK Read',09:44:12
1,2377.6,b'IR',100 mA,2,64,150,128.05,117.617,114.083,129.65,204.35,99.083,138.833,234.233,122.183,210.583,271.383,120.85,199.033,252.333,2066.25,6613.8,5254.083,2377.6,b'IR',100 mA,b'OK Read',09:44:13
1,24.363,b'White',12.5 mA,2,64,200,34.388,273.8,976.65,286.137,596.975,1212.375,408.425,333.712,985.138,127.475,384.887,132.025,733.925,331.45,92,45.65,24.413,24.363,b'White',12.5 mA,b'OK Read',09:44:15
1,224.113,b'IR',12.5 mA,2,64,200,17.788,14.887,14.613,17.887,25.55,13.725,18.137,29.387,17.188,28.762,35.225,16.238,28.275,37.425,316.512,1015.75,593.163,224.113,b'IR',12.5 mA,b'OK Read',09:44:17
1,46.288,b'White',25 mA,2,64,200,69.95,593.438,1787.388,527.575,1160.838,2354.475,792.663,645.875,1900.112,243.675,714.987,266.15,1509.688,680,175.225,88.45,43.938,46.288,b'White',25 mA,b'OK Read',09:44:19
1,492.087,b'IR',25 mA,2,64,200,35.562,30.938,30.262,35.763,53.925,27.462,38.288,61.388,34.362,56.975,71.763,33.538,56.538,75.912,647.25,2082.863,1268.5,492.087,b'IR',25 mA,b'OK Read',09:44:20
1,88.912,b'White',50 mA,2,64,200,144.65,1272.787,3122.975,945.612,2182.588,4416.562,1486.588,1208.162,3532.45,452.375,1497.812,550.65,3157.325,1435.912,350.462,178.325,82.175,88.912,b'White',50 mA,b'OK Read',09:44:22
1,1077.963,b'IR',50 mA,2,64,200,69.95,61.862,60.525,71.537,106.912,54.112,75.237,123.425,67.3,111.688,157.875,65.487,108.562,144.338,1215.662,3936.037,2629.75,1077.963,b'IR',50 mA,b'OK Read',09:44:23
1,105.975,b'White',100 mA,2,64,200,174.287,1538.575,3553.912,1095.388,2525.075,5145.113,1733.112,1409.3,4109.5,522.888,1705.263,663.812,3756.675,1716.037,417.262,211.137,96.013,105.975,b'White',100 mA,b'OK Read',09:44:25
1,2395.863,b'IR',100 mA,2,64,200,126.862,115.713,112.688,128.537,202.463,96.925,137.713,233.137,121.713,208.7,268.775,119.975,195.637,246.988,2011.862,6466.863,5224.525,2395.863,b'IR',100 mA,b'OK Read',09:44:26
1,24.36,b'White',12.5 mA,2,64,250,34.15,274.03,977.48,287.04,597.16,1212.86,407.89,333.32,986.28,127.7,361.14,132.03,724.65,325.89,92,45.65,24.74,24.36,b'White',12.5 mA,b'OK Read',09:44:29
1,225.09,b'IR',12.5 mA,2,64,250,17.07,15.58,15.03,17.88,25.73,13.57,18.27,29.26,17.18,28.43,34.44,16.35,28.05,36.78,315.41,1013.47,593,225.09,b'IR',12.5 mA,b'OK Read',09:44:30
1,46.77,b'White',25 mA,2,64,250,70.19,592.98,1787.18,527.57,1160.26,2352.05,791.59,644.7,1898.1,243.67,741.08,265.74,1499.05,674.87,175.23,89.02,44.26,46.77,b'White',25 mA,b'OK Read',09:44:32
1,493.06,b'IR',25 mA,2,64,250,36.04,31.16,30.89,36.66,53.74,27.79,38.16,61.65,34.37,56.86,84.55,33.11,56.09,75.27,643.09,2074.87,1268.01,493.06,b'IR',25 mA,b'OK Read',09:44:33
1,89.65,b'White',50 mA,2,64,250,144.17,1269.35,3125.27,946.95,2179.75,4408.16,1482.69,1205.28,3527.01,451.7,1488.42,552.85,3129.28,1425.87,349.58,178.04,82.67,89.65,b'White',50 mA,b'OK Read',09:44:35
1,1081.61,b'IR',50 mA,2,64,250,70.19,62.32,60.1,70.64,106.72,53.63,74.7,123.3,66.44,111.46,143,65.39,108.56,143.7,1200.33,3905.51,2627.15,1081.61,b'IR',50 mA,b'OK Read',09:44:37
1,106.21,b'White',100 mA,2,64,250,175.47,1538.81,3563.51,1099.86,2524.88,5150.61,1732.58,1407.47,4111.22,522.09,1758.75,666.43,3726.37,1704.71,416.17,211.14,96.34,106.21,b'White',100 mA,b'OK Read',09:44:39
1,2410.73,b'IR',100 mA,2,64,250,125.2,115.48,111.86,126.98,200.57,96.93,136.5,231.97,120.28,207.12,284.95,119.04,193.6,243.77,1966.96,6360.43,5202.23,2410.73,b'IR',100 mA,b'OK Read',09:44:40
1,24.35,b'White',12.5 mA,3,64,50,37.95,307.05,1060.1,326.4,654.7,1305.25,421.85,331.75,962.25,117.3,318.35,115.25,569.95,252.35,74.45,39.95,22.8,24.35,b'White',12.5 mA,b'OK Read',09:45:21
1,224.1,b'IR',12.5 mA,3,64,50,18.95,13.75,16.7,17.9,26.5,12.9,18.8,28.75,17.2,29.35,46.95,16.75,27.15,38.5,324.2,1032.85,602.1,224.1,b'IR',12.5 mA,b'OK Read',09:45:22
1,43.85,b'White',25 mA,3,64,50,71.15,664.45,1940.8,599.1,1271.5,2536.2,819.55,640,1861.45,223.35,631.5,243.1,1266.55,568.8,153.35,79.9,42.3,43.85,b'White',25 mA,b'OK Read',09:45:24
1,487.2,b'IR',25 mA,3,64,50,37.95,32.1,29.2,35.75,56.75,29.1,37.6,62.7,34.35,56.4,83.5,33.55,54.3,77,665.85,2128.5,1288.85,487.2,b'IR',25 mA,b'OK Read',09:45:25
