,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
3842,65,1,64,50,11492.59,7782.981,14508.364,13425.986,11681.567,4309.837,White LED,50 mA,b'OK Read',10:21:19,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3843,65,1,64,50,12919.622,8726.926,16290.376,15081.05,13111.673,4850.86,White LED,100 mA,b'OK Read',10:21:21,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3844,65,1,64,100,3908.1859999999997,2670.452,4876.377,4527.644,3952.853,1464.886,White LED,12.5 mA,b'OK Read',10:21:22,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3845,65,1,64,100,7619.641,5185.609,9556.841999999999,8857.917,7719.274,2867.8759999999997,White LED,25 mA,b'OK Read',10:21:23,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3846,65,1,64,100,11519.017,7804.295999999999,14494.945,13437.876,11657.968,4346.517,White LED,50 mA,b'OK Read',10:21:24,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3847,65,1,64,100,12957.793,8763.465,16293.059,15100.073,13083.356000000002,4887.539000000001,White LED,100 mA,b'OK Read',10:21:25,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3848,65,1,64,150,3899.377,2669.437,4864.748,4519.717000000001,3942.627,1470.235,White LED,12.5 mA,b'OK Read',10:21:26,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3849,65,1,64,150,7604.959,5190.684,9527.32,8842.856,7672.861999999999,2865.583,White LED,25 mA,b'OK Read',10:21:27,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3850,65,1,64,150,11527.826000000001,7829.67,14490.472,13437.083,11628.075,4343.46,White LED,50 mA,b'OK Read',10:21:28,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3851,65,1,64,150,12960.73,8783.765,16270.695,15088.976,13042.45,4870.727,White LED,100 mA,b'OK Read',10:21:29,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3852,65,1,64,200,3892.0359999999996,2670.452,4857.590999999999,4514.565,3925.7140000000004,1466.0320000000002,White LED,12.5 mA,b'OK Read',10:21:30,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
3853,65,1,64,200,7593.214,5191.6990000000005,9511.218,8828.192,7648.477,2851.829,White LED,25 mA,b'OK Read',10:21:31,57.22440719333334,45.59631385,11.628093336666666,3.7938068656666672,3.0235856853333334,0.7702211809999999
